id,eng,simp,trad
836305,Selling cars is my job.,卖车是我的工作。,賣車是我的工作。
836307,Are you sure of your facts?,你确定你的资料属实吗？,你確定你的資料屬實嗎？
836308,Have you ever been to Nara?,你去过奈良吗？,你去過奈良嗎？
836311,Even children can read this book.,即使是小孩也能读这本书。,即使是小孩也能讀這本書。
836312,Fred often comes late for class.,弗雷德常上课迟到。,弗雷德常上課遲到。
836315,What sports do you like?,你喜欢什麽运动？,你喜歡什麼運動？
836317,Do you have any other questions?,你有任何其他的问题吗？,你有任何其他的問題嗎？
836319,She married Tom last month.,她上个月嫁给了汤姆。,她上個月嫁給了湯姆。
836320,"Debbie, is your school near here?",黛比，你的学校在这附近吗？,黛比，你的學校在這附近嗎？
836322,This coat fits you perfectly.,这件大衣十分适合你。,這件大衣十分適合你。
836323,You should eat more vegetables.,你应该多吃蔬菜。,你應該多吃蔬菜。
836324,Do you have a driver's license?,你有驾驶执照吗？,你有駕駛執照嗎？
836325,She gave me several books.,她给了我几本书。,她給了我幾本書。
836326,He doesn't like traveling by air.,他不喜欢搭飞机旅行。,他不喜歡搭飛機旅行。
836327,She finished reading the letter.,她看完信了。,她看完信了。
836328,"Taro, could you help me?",太郎，你能帮我吗？,太郎，你能幫我嗎？
836329,This makes me very angry.,这让我很生气。,這讓我很生氣。
836330,Which way is Central Park?,中央公园在哪个方向？,中央公園在哪個方向？
836331,Will he be here soon?,他很快就会到这裡吗?,他很快就會到這裡嗎?
836332,He failed to follow our advice.,他没有遵循我们的忠告。,他沒有遵循我們的忠告。
836334,Please close the door quietly.,请安静地关门。,請安靜地關門。
836335,Yumi will become a teacher.,由美将成为一名教师。,由美將成為一名教師。
836336,Can't you stay a little longer?,你不能待久一点吗？,你不能待久一點嗎？
836337,There's a soccer match tomorrow.,明天有一场足球比赛。,明天有一場足球比賽。
836338,The shooting started around noon.,拍摄是在中午十二时左右开始。,拍攝是在中午十二時左右開始。
836339,The shooting started around noon.,枪击是在中午十二时左右开始的。,槍擊是在中午十二時左右開始的。
836340,Everyone in his family is tall.,他家的每个人都很高。,他家的每個人都很高。
836348,"Bob can drive a car, too.",Bob也会开车。,Bob也會開車。
836349,Have you seen my glasses anywhere?,你曾在哪裡看到过我的眼镜吗？,你曾在哪裡看到過我的眼鏡嗎？
836351,We ran down the hill.,我们跑下山。,我們跑下山。
836353,You should emphasize that fact.,你应该重视那个事实。,你應該重視那個事實。
836355,He has just become a principal.,他刚成为一名校长。,他剛成為一名校長。
836356,Change trains at the next station.,在下一站换火车。,在下一站換火車。
836357,Are you finished with your work?,你完成你的工作了吗?,你完成你的工作了嗎?
836358,Has she finished the book yet?,她读完这本书了吗？,她讀完這本書了嗎？
836359,You should have worked harder.,你应该要更努力的。,你應該要更努力的。
836360,"Could you call me tonight, please?",今晚你能打电话给我吗？,今晚你能打電話給我嗎？
836361,Could you show me this bag?,你能给我看看这个包吗？,你能給我看看這個包嗎？
836363,She spent all afternoon cooking.,她花了整个下午作饭。,她花了整個下午作飯。
836365,The air conditioner doesn't work.,空调故障了。,空調故障了。
836366,Do what you think is right.,做你认为正确的事。,做你認為正確的事。
836367,Wash your hands before eating.,进食前先洗手。,進食前先洗手。
836368,There's no need to hurry.,没有必要着急。,沒有必要著急。
836370,You don't have to eat it.,你不必吃。,你不必吃。
836371,You shouldn't have gone there.,你不应该去那裡的。,你不應該去那裡的。
836372,Don't put books on the table.,不要把书放在那张桌子上。,不要把書放在那張桌子上。
836374,That pasture is ten acres.,那个牧场有十英亩大。,那個牧場有十英畝大。
836376,The red dress suited her.,这件红色的洋装适合她。,這件紅色的洋裝適合她。
836377,She looked after the children.,她照顾孩子们。,她照顧孩子們。
836379,Aoi is a very good dancer.,葵是一个非常好的舞者。,葵是一個非常好的舞者。
836381,This isn't what I ordered.,这不是我点的食物。,這不是我點的食物。
836382,You should see a doctor.,你应该去看医生。,你應該去看醫生。
836383,Could you please drive me home?,你可以载我回家吗?,你可以載我回家嗎?
836385,"Ow！It hurts so much, I'm itchy all over.",哎呦好难受啊，全身发痒！,哎呦好難受啊，全身發癢！
836386,Please take off your shoes.,请脱掉你的鞋子。,請脫掉你的鞋子。
836391,Swimming is easy for me.,游泳对我来说很容易。,遊泳對我來說很容易。
836392,Don't blame the mistake on her.,不要把这个错误归咎于她。,不要把這個錯誤歸咎於她。
836395,Who painted this beautiful picture?,谁画了这幅美丽的图画？,誰畫了這幅美麗的圖畫？
836396,Have you ever been to France?,你曾经去过法国吗？,你曾經去過法國嗎？
836398,He did not eat anything yesterday.,他昨天没有吃任何东西。,他昨天沒有吃任何東西。
836401,Could you send me a brochure?,你能寄宣传册给我吗？,你能寄宣傳冊給我嗎？
836402,Did you leave the window open?,你让窗户开着吗?,你讓窗戶開著嗎?
836403,Have you read this book yet?,你读过这本书吗？,你讀過這本書嗎？
836404,Tom is growing a mustache.,汤姆留着小鬍子。,湯姆留著小鬍子。
836405,Don't do anything like that again.,不要再做那样的事情了。,不要再做那樣的事情了。
836406,Why did you come here?,你为什麽来这裡？,你為什麼來這裡？
836407,Do you believe what he said?,你相信他说的话吗？,你相信他說的話嗎？
836408,He calls her up every night.,他每天晚上打电话给她。,他每天晚上打電話給她。
836409,She plays tennis every Sunday.,她每个星期天打网球。,她每個星期天打網球。
836410,He comes here every three days.,他每三天来这裡一次。,他每三天來這裡一次。
836411,The conference ended at five.,会议在五点钟结束。,會議在五點鐘結束。
836412,"Give me a light, would you?",借个火，好吗?,借個火，好嗎?
836414,You shouldn't have done it.,你不应该做的。,你不應該做的。
836415,We heard him come downstairs.,我们听见了他下楼的声音。,我們聽見了他下樓的聲音。
836416,He arrived after the bell rang.,铃响后他就到了。,鈴響後他就到了。
836417,Have you heard about the accident?,你听说过这场意外吗？,你聽說過這場意外嗎？
836418,She speaks English very fluently.,她英语说得很流利。,她英語說得很流利。
836419,Tom kept talking all night.,汤姆整夜一直在说话。,湯姆整夜一直在說話。
836420,Tell me what you want.,告诉我你要什麽。,告訴我你要什麼。
836421,Stay out of the rain.,躲雨。,躲雨。
836422,Stay out of the rain.,别被雨淋了。,別被雨淋了。
836423,Seiko accepted his dinner invitation.,Seiko接受了他的晚餐邀请。,Seiko接受了他的晚餐邀請。
836424,Can she endure a long trip?,她能忍受长途旅行吗？,她能忍受長途旅行嗎？
836425,Did you watch TV last night?,你昨晚看电视了吗？,你昨晚看電視了嗎？
836426,You may go home now.,你现在可以回家了。,你現在可以回家了。
836427,Bobby may watch TV until 7:00.,鲍比直到七点钟前可以看电视。,鮑比直到七點鐘前可以看電視。
836429,The meeting lasted until 5.,会议一直持续到5点钟。,會議一直持續到5點鐘。
836430,Do you understand what I'm saying?,你明白我的意思吗？,你明白我的意思嗎？
836431,Turn the flame down low.,把火转小一点。,把火轉小一點。
836432,The man robbed her bag.,这名男子抢走了她的包包。,這名男子搶走了她的包包。
836433,Do you know what I mean?,你知道我的意思吗？,你知道我的意思嗎？
836434,Who told you the news?,谁告诉了你这个消息？,誰告訴了你這個消息？
836435,"You're very brave, aren't you?",你很勇敢，不是吗？,你很勇敢，不是嗎？
836436,You are in my way.,你挡住了我的路。,你擋住了我的路。
836437,Today is my sister's birthday.,今天是我姊姊的生日。,今天是我姊姊的生日。
836438,This message doesn't make sense.,这个消息没有道理。,這個消息沒有道理。
836439,Stand back from the rope.,退到绳子后面。,退到繩子後面。
836440,A truck ran over our dog.,一辆卡车辗过一隻狗。,一輛卡車輾過一隻狗。
836441,She studies English every day.,她每天学习英语。,她每天學習英語。
836442,Are you brushing your teeth properly?,你正确地刷牙吗？,你正確地刷牙嗎？
836558,He does well in physics.,他的物理学得很好。,他的物理學得很好。
836563,I'm feeling blue today.,我今天的心情不好。,我今天的心情不好。
836566,She woke up in the early morning.,她一大早就起床了。,她一大早就起床了。
836568,I'll wait till four o'clock.,我会等到四点。,我會等到四點。
836571,Fever flushed his cheeks.,他因为发烧而满脸通红。,他因為發燒而滿臉通紅。
836574,I had a long talk with her.,我和她有一段长谈。,我和她有一段長談。
836577,I can't thank you enough.,我无法表达我对你的感谢。,我無法表達我對你的感謝。
836581,Better late than never.,迟到总比不到好。,遲到總比不到好。
836582,She is always dressed in black.,她总是穿着黑色的衣服。,她總是穿著黑色的衣服。
836905,The street is slippery.,马路滑的。,馬路滑的。
837524,I had nan with tea for breakfast.,我早饭吃了馕再喝了茶。,我早飯吃了饢再喝了茶。
837776,The damage will cost us a lot of money.,这破坏会花费我们很多钱。,這破壞會花費我們很多錢。
837779,"When we learn languages, we learn fixed expressions.",当我们学外语时，我们学熟语。,當我們學外語時，我們學熟語。
837958,Those present were all moved to tears.,在座的人全都被感动得流下了泪来。,在座的人全都被感動得流下了淚來。
837978,Have you ever been to Canada?,你有没有去过加拿大？,你有沒有去過加拿大？
838070,"There is a proverb that goes ""time is money"", but there is another one that goes ""money can't buy you time"".",俗话说：一寸光阴一寸金；可俗话又说：寸金难买寸光阴！,俗話說：一寸光陰一寸金；可俗話又說：寸金難買寸光陰！
838077,"As the saying goes: ""good always triumphs over evil"". But there's another saying that: ""the fight against evil is a constant struggle"".",俗话说：邪不压正；可俗话又说：道高一尺，魔高一丈！,俗話說：邪不壓正；可俗話又說：道高一尺，魔高一丈！
838091,"There’s a saying that goes, “the coming of fortune in pairs”. But there’s another saying that says, “Fortune comes but never in pairs and misfortune always”.",俗话说：双喜临门；可俗话又说：福无双进，祸不单行！,俗話說：雙喜臨門；可俗話又說：福無雙進，禍不單行！
838288,"Don't look down on yourself, because people have limitless possibilities.",不要小看自己，因为人有无限的可能。,不要小看自己，因為人有無限的可能。
838327,Acknowledge your own faults before criticizing others.,要批评别人时，先想想自己是否完美无缺。,要批評別人時，先想想自己是否完美無缺。
838353,Only with wisdom can one distinguish between good and evil; only with humility can one build a happy life.,有智慧才能分辨善恶邪正；有谦虚才能建立美满人生。,有智慧才能分辨善惡邪正；有謙虛才能建立美滿人生。
838378,"The most beautiful thing in the sky are the stars, the most beautiful thing in life is kindness.",天上最美是星星，人生最美是温情。,天上最美是星星，人生最美是溫情。
838416,Don't be afraid of having tigers for enemies; be afraid of having pigs for friends.,不怕虎一样的敌人，就怕猪一样的队友。,不怕虎一樣的敵人，就怕豬一樣的隊友。
838423,Do you really think that I will simply watch you walk into trouble? I'd close my eyes.,你以为我会眼睁睁地看着你去送死？我会闭上眼睛的。,你以為我會眼睜睜地看著你去送死？我會閉上眼睛的。
838425,"Please don't speak English when I am around, OK?",请你以后不要在我面前说英文了，OK?,請你以後不要在我面前說英文了，OK?
838430,Problems that can be solved with money are not real problems.,钱可以解决的问题都不是问题。,錢可以解決的問題都不是問題。
838433,"Quitting smoking is easy, quitting you is too hard.",戒烟容易，戒你太难！,戒煙容易，戒你太難！
838437,"You can't please everybody, because not everyone is human.",你不能让所有人都满意，因为不是所有的人都是人。,你不能讓所有人都滿意，因為不是所有的人都是人。
838438,Optimists see opportunities in disasters while pessimists find disasters in every opportunity.,乐观者在灾祸中看到机会，悲观者在机会中看到灾祸。,樂觀者在災禍中看到機會，悲觀者在機會中看到災禍。
838443,Don't fear being put upon. Fear instead being unable to help.,不怕被人利用，就怕你没用。,不怕被人利用，就怕你沒用。
838464,"Even if one is to ""believe"", there is still a ""lie"" in the midst.",就算是believe，中间也藏着一个lie。,就算是believe，中間也藏著一個lie。
838466,"Real friendship doesn't mean that you will never run out of things to say, but that you don't get embarrassed when you don't have anything to say.",真正的好朋友，并不是在一起就有聊不完的话题，而是在一起，就算不说话，也不会觉得尴尬。,真正的好朋友，並不是在一起就有聊不完的話題，而是在一起，就算不說話，也不會覺得尷尬。
838471,"Any problem that can be resolved with money isn't a problem, but the problem is that I'm poor.",能用钱解决的问题都不是问题，可问题是我是穷人。,能用錢解決的問題都不是問題，可問題是我是窮人。
838487,What are you unhappy about? Let it out and let everyone cheer you up a bit.,你有什麽不开心的事? 说出来让大家开心一下。,你有什麼不開心的事? 說出來讓大家開心一下。
838495,Those two are exactly alike.,那两个是一模一样的。,那兩個是一模一樣的。
838496,"We start class at 9am, but he came as early as 8 o’clock.",我们早上九点上课，可是他八点就来了。,我們早上九點上課，可是他八點就來了。
838499,She was only 18 when she graduated from university.,她十八岁就大学毕业了。,她十八歲就大學畢業了。
838501,Have you heard from her recently?,你最近有她的音讯吗？,你最近有她的音訊嗎？
838502,One of our players scored a goal just five minutes after the match started.,我们班的球员比赛开始五分钟后就得了一分。,我們班的球員比賽開始五分鐘後就得了一分。
838505,"We start class at nine o’clock, but he didn’t come until quarter past.",我们九点上课，可是他九点一刻才来。,我們九點上課，可是他九點一刻才來。
838507,Last night my daughter didn’t come home until half past one.,昨天晚上我的女儿一点半才回家。,昨天晚上我的女兒一點半才回家。
838508,The thunder scared the children.,雷声吓到孩子了。,雷聲嚇到孩子了。
838510,He didn’t get a driving licence until he was twenty-eight.,他二十八岁才拿到驾照。,他二十八歲才拿到駕照。
838512,Are you staying at this hotel?,你住在这家旅馆吗？,你住在這家旅館嗎？
838513,Do you have a non-smoking section?,你们有非吸烟区吗？,你們有非吸煙區嗎？
838516,Could you check the tire pressure?,你能检查一下这个轮胎的气压吗？,你能檢查一下這個輪胎的氣壓嗎？
838520,Hang your coat on the hook.,把你的外套挂在钩子上。,把你的外套掛在鉤子上。
838521,She is a wonderful woman.,她是个很棒的女人。,她是個很棒的女人。
838524,The clouds are getting darker.,云越来越黑。,雲越來越黑。
838532,Please add up the bill.,请确认帐单。,請確認帳單。
838534,He could not answer that question.,他无法回答这个问题。,他無法回答這個問題。
838537,Have you ever had food poisoning?,您曾经食物中毒过吗？,您曾經食物中毒過嗎？
838538,What's your home phone number?,你家的电话号码几号？,你家的電話號碼幾號？
838541,Have they ever come on time?,他们曾经准时来过吗？,他們曾經準時來過嗎？
838542,That's my younger sister's photograph.,那是我妹妹的照片。,那是我妹妹的照片。
838544,That bridge is very beautiful.,那座桥很漂亮。,那座橋很漂亮。
838546,Where is the nearest telephone box?,最近的电话亭在哪裡？,最近的電話亭在哪裡？
838547,Would you like another apple?,你要再来颗苹果吗？,你要再來顆蘋果嗎？
838548,Susan left an hour ago.,苏珊一个小时前离开了。,蘇珊一個小時前離開了。
838550,This is Uncle Tom's farm.,这是汤姆叔叔的农场。,這是湯姆叔叔的農場。
838551,Tom is good at cooking.,汤姆擅长烹饪。,湯姆擅長烹飪。
838552,Did you enjoy your winter holidays?,你寒假过得愉快吗？,你寒假過得愉快嗎？
838553,Do you have any light beer?,你有任何澹啤酒吗？,你有任何淡啤酒嗎？
838555,Wine is made from grapes.,葡萄酒是用葡萄做成的。,葡萄酒是用葡萄做成的。
838556,Tom gave me a pen.,汤姆给了我一枝笔。,湯姆給了我一枝筆。
838557,They are having breakfast now.,他们现在正在吃早饭。,他們現在正在吃早飯。
838566,We enjoyed singing songs together.,我们喜欢一起唱歌。,我們喜歡一起唱歌。
838568,Will it be much longer?,还要很久吗？,還要很久嗎？
838569,You'd better not go out.,你最好不要出门。,你最好不要出門。
838570,Are you planning to help them?,你打算帮助他们吗？,你打算幫助他們嗎？
838571,What he said embarrassed me.,他说的话让我很尴尬。,他說的話讓我很尷尬。
838572,Are you going out with Sachiko?,你要和幸子出去吗？,你要和幸子出去嗎？
838574,They live across the river.,他们住在河对面。,他們住在河對面。
838576,He grows tomatoes in his garden.,他在他的花园种番茄。,他在他的花園種番茄。
838577,You're on the right track.,你的想法是对的。,你的想法是對的。
838578,You're on the right track.,你在正确的轨道上。,你在正確的軌道上。
838580,You should have studied harder.,你本应该更努力学习的。,你本應該更努力學習的。
838581,He goes to Karuizawa every year.,他每年都去轻井泽。,他每年都去輕井澤。
838582,Where's the nearest travel agency?,最近的旅行社在哪裡？,最近的旅行社在哪裡？
838583,Today is my sixteenth birthday.,今天是我十六岁的生日。,今天是我十六歲的生日。
838586,What time does boarding begin?,什麽时候开始登机？,什麼時候開始登機？
838587,He failed to answer the letter.,他没有回信。,他沒有回信。
838590,Dorothy sent him a nice present.,桃乐丝送给他一个不错的礼物。,桃樂絲送給他一個不錯的禮物。
838592,This car isn't worth repairing.,这辆车不值得修理。,這輛車不值得修理。
838593,She attempted to kill herself.,她企图自杀。,她企圖自殺。
838594,Please pass me the salt.,请把盐递给我。,請把鹽遞給我。
838598,The bridge is being repainted.,这座桥正被重新油漆。,這座橋正被重新油漆。
838599,Summer vacation begins next Monday.,暑假从下星期一开始。,暑假從下星期一開始。
838601,Have you eaten your lunch yet?,你吃过午饭了吗？,你吃過午飯了嗎？
838602,You should have known better.,你本应该更明白的。,你本應該更明白的。
838603,Where is the Japanese Embassy?,日本大使馆在哪裡？,日本大使館在哪裡？
838605,Some people questioned his honesty.,有些人质疑他的诚实。,有些人質疑他的誠實。
838611,I walked to school.,我走路到学校。,我走路到學校。
838612,He comes back from Sydney today.,他今天从雪梨回来。,他今天從雪梨回來。
838618,Have you turned in your report?,你交报告了吗？,你交報告了嗎？
838620,Our school begins at eight-thirty.,我们学校在八点半开始上课。,我們學校在八點半開始上課。
838622,"He drives a car, doesn't he?",他开车，不是吗？,他開車，不是嗎？
838625,You'd better go by bus.,你最好坐公共汽车去。,你最好坐公共汽車去。
838627,Are you students at this school?,你是这所学校的学生吗？,你是這所學校的學生嗎？
838628,Do you have any Japanese magazines?,你有任何日本杂志吗？,你有任何日本雜誌嗎？
838629,Our train leaves at eight-thirty.,我们的火车在八点半出发。,我們的火車在八點半出發。
838632,She eyed the stranger suspiciously.,她盯着可疑的陌生人看。,她盯著可疑的陌生人看。
838634,There are almost no books.,几乎没有任何书籍。,幾乎沒有任何書籍。
838635,Have you handed in your homework?,你交功课了吗？,你交功課了嗎？
838640,He dropped in at the bookstore.,他顺道去了这家书店。,他順道去了這家書店。
838641,"Could you wrap this separately, please?",请你分开包装好吗？,請你分開包裝好嗎？
838642,You can take today off.,你今天可以休假一天。,你今天可以休假一天。
838643,Have you ever eaten Japanese food?,你吃过日本料理吗？,你吃過日本料理嗎？
838644,Tom isn't watching TV now.,汤姆现在没在电视。,湯姆現在沒在電視。
838645,Do you know what he said?,你知道他说了什麽吗？,你知道他說了什麼嗎？
838659,The truth?,实话？,實話？
838691,The interpreter tries to give the most detail and information possible.,翻译正在试图给尽可能多的细节和消息。,翻譯正在試圖給盡可能多的細節和消息。
838752,He rang me up at midnight.,他半夜打电话给我。,他半夜打電話給我。
838792,You should take care not to catch cold.,你应该小心不要着凉。,你應該小心不要著涼。
838835,It is clearly shown in Johnson's investigation that passive smoking is very harmful.,在Johnson的调查里，明确地证明了二手烟是很有害的。,在Johnson的調查裏，明確地證明了二手煙是很有害的。
838876,"When you're done with the book, put it back where you found it.",你一用完了这本书，就把它放回原来找到的地方。,你一用完了這本書，就把它放回原來找到的地方。
838880,Please fill this water bottle.,请把水瓶灌满。,請把水瓶灌滿。
839089,We play football every Saturday.,我们每个星期六踢足球。,我們每個星期六踢足球。
839097,"You were late, weren't you?",你迟到了，不是吗？,你遲到了，不是嗎？
839098,Where is the nearest station?,最近的车站在哪裡？,最近的車站在哪裡？
839099,Who's your most interesting friend?,你最有趣的朋友是谁？,你最有趣的朋友是誰？
839100,She always smiles at me.,她总是对我微笑。,她總是對我微笑。
839101,Any student can answer that question.,任何学生都可以回答这个问题。,任何學生都可以回答這個問題。
839103,Shake the bottle before using.,使用前摇动一下瓶子。,使用前搖動一下瓶子。
839129,"Don't argue with an idiot, or else people might not be sure which of you is really the idiot.",不要同一个傻瓜争辩、否则别人会搞不清到底谁是傻瓜。,不要同一個傻瓜爭辯、否則別人會搞不清到底誰是傻瓜。
839152,Prices have gone up these three months.,最近三个月，价钱涨高了。,最近三個月，價錢漲高了。
839155,"The job looked quite simple, but it took me a week.",这份工作看起来很简单，但它花了我一个星期。,這份工作看起來很簡單，但它花了我一個星期。
839156,Please forgive me asking such a personal question.,请原谅我问了这样一个私人的问题。,請原諒我問了這樣一個私人的問題。
839157,Prices have gone up these three months.,最近三个月，物价上昇了。,最近三個月，物價上昇了。
839163,Jessie accepted the invitation at once.,Jessie立刻接收了邀请。,Jessie立刻接收了邀請。
839173,They have no impact on the environment.,它们对环境一点都没有影响。,它們對環境一點都沒有影響。
839194,He cut some branches off the tree.,他割掉了树上的几根树枝。,他割掉了樹上的幾根樹枝。
839212,This damp match won't light.,这根湿掉的火柴点不出火的。,這根濕掉的火柴點不出火的。
839247,"When I opened the curtains, it was snowing.",当我拉开了窗帘时，在下雪呢。,當我拉開了窗簾時，在下雪呢。
839261,What kind of man was he?,他是什么样子的男人啊？,他是什麼樣子的男人啊？
839268,"If I knew that, I'd tell you.",如果我知道的，会告诉你的。,如果我知道的，會告訴你的。
839284,The girl closed her eyes and listened to the pastor.,小女孩闭上了眼睛听了牧师。,小女孩閉上了眼睛聽了牧師。
839294,Who was that you were with last night?,和你昨晚在一起的人是谁？,和你昨晚在一起的人是誰？
839305,She doesn't need to work.,她用不着工作。,她用不著工作。
839345,"You alone can do it, but you can't do it alone.",只有你一个人能做到，但你独自一个人是做不到的。,只有你一個人能做到，但你獨自一個人是做不到的。
839433,Give me a bottle of wine.,给我一瓶葡萄酒。,給我一瓶葡萄酒。
839439,The soccer game is tomorrow.,明天有足球比赛。,明天有足球比賽。
839443,Have you finished reading the book?,你读完这本书了吗？,你讀完這本書了嗎？
839451,"Could you call a doctor, please?",你能请个医生来吗？,你能請個醫生來嗎？
839453,We celebrate Christmas every year.,我们每年都庆祝圣诞节。,我們每年都慶祝聖誕節。
839463,Physics is my favorite subject.,物理是我最喜欢的科目。,物理是我最喜歡的科目。
839471,The pianist played two encores.,这位钢琴家演奏了两首安可曲。,這位鋼琴家演奏了兩首安可曲。
839475,Why did you do that?,你为什麽要那样做呢？,你為什麼要那樣做呢？
839481,Feel free to ask any questions.,随时问任何问题都可以。,隨時問任何問題都可以。
839483,Father bought me a new bicycle.,父亲买了一辆新自行车给我。,父親買了一輛新自行車給我。
839485,She'll love her husband forever.,她会永远爱她的丈夫。,她會永遠愛她的丈夫。
839488,Have you done all your homework?,你做了所有的功课吗？,你做了所有的功課嗎？
839492,He divorced his wife last month.,上个月他和妻子离婚了。,上個月他和妻子離婚了。
839496,There's nothing good on television.,电视上没有什麽好事。,電視上沒有什麼好事。
839503,He denied having written to me.,他否认曾写信给我。,他否認曾寫信給我。
839504,The bride looked very beautiful.,新娘看起来非常漂亮。,新娘看起來非常漂亮。
839505,Why are you angry with him?,你为什么跟他生气？,你為什麼跟他生氣？
839506,She eats nothing but vegetables.,她只吃蔬菜。,她只吃蔬菜。
839508,"Where are you from, Karen?",你是哪裡人，凯伦？,你是哪裡人，凱倫？
839510,He advised her to stop drinking.,他建议她戒酒。,他建議她戒酒。
839513,Brian went to school with Kate.,布莱恩和凯特去上学了。,布萊恩和凱特去上學了。
839514,They are very big apples.,他们是非常大的苹果。,他們是非常大的蘋果。
839516,Tell me which you want.,告诉我你想要哪个。,告訴我你想要哪個。
839519,Your work is below average.,你的工作表现低于平均水平。,你的工作表現低於平均水平。
839521,It seems that Mr. Tanaka has taken his exam.,田中好像考过试了。,田中好像考過試了。
839522,He doesn't know English at all.,他一点也不懂英语。,他一點也不懂英語。
839525,What does your aunt do?,你姑姑是做什麽的？,你姑姑是做什麼的？
839532,Bob will be home at six.,鲍勃将在六点钟回家。,鮑勃將在六點鐘回家。
839533,Don't put it on my desk.,不要把它放在我的桌子上。,不要把它放在我的桌子上。
839535,Have you washed the car yet?,你洗过车子了吗？,你洗過車子了嗎？
839538,Did you see him go out?,你看到他出去了吗？,你看到他出去了嗎？
839545,They named their child Thomas.,他们为他们的孩子命名为托马斯。,他們為他們的孩子命名為托馬斯。
839548,Please bring me my bill.,请把帐单给我。,請把帳單給我。
839554,Children love playing on the beach.,孩子们喜欢在沙滩上玩。,孩子們喜歡在沙灘上玩。
839557,Have you heard from him recently?,你最近有他的消息吗？,你最近有他的消息嗎？
839558,Please send us more information.,请给我们更多讯息。,請給我們更多訊息。
839561,She finally reached the hotel.,她终于到达了酒店。,她終於到達了酒店。
839565,Could we have a table outside?,我们在外面可以有一张桌子吗？,我們在外面可以有一張桌子嗎？
839568,She talked as she walked.,她边走边谈。,她邊走邊談。
839571,Speaking English is a lot of fun.,说英语很有趣。,說英語很有趣。
839574,Bill is on the editorial staff.,比尔在编辑部工作。,比爾在編輯部工作。
839575,The policemen arrested the burglar.,警察逮捕了窃贼。,警察逮捕了竊賊。
839577,This is all I know.,这是我所知道的。,這是我所知道的。
839578,"Can you lend me 10,000 yen?",你能借给我10000日元？,你能借給我10000日元？
839579,Yumi speaks English very well.,由美英语说得非常好。,由美英語說得非常好。
839588,Our house is conveniently located.,我们的房子位于交通便利的地方。,我們的房子位於交通便利的地方。
839590,You should wear a coat.,你应该穿一件大衣。,你應該穿一件大衣。
839593,Dick plans to go by himself.,迪克打算自己去。,迪克打算自己去。
839594,What are you doing here?,你在这裡做什麽？,你在這裡做什麼？
839602,You should study English harder.,你应该更努力学习英语。,你應該更努力學習英語。
839604,They are discussing the problem.,他们正在讨论这个问题。,他們正在討論這個問題。
839607,She cooked the dinner herself.,她自己煮晚餐了。,她自己煮晚餐了。
839608,He drank three bottles of beer.,他喝了三瓶啤酒。,他喝了三瓶啤酒。
839610,Do you really believe in ghosts?,你真的相信鬼吗？,你真的相信鬼嗎？
839611,There are no comments yet.,还没有任何评论。,還沒有任何評論。
839613,She was washing the dishes.,那时她正在洗碗。,那時她正在洗碗。
839615,He asked me to help him.,他要求我帮助他。,他要求我幫助他。
839616,She sat on the bench.,她坐在长椅上。,她坐在長椅上。
839618,Tom will go there tomorrow.,汤姆明天会去那裡。,湯姆明天會去那裡。
839788,Take the oranges out of the fridge.,把橙子从冰箱里拿出来。,把橙子從冰箱裏拿出來。
839803,Do you know where these equations come from?,你知道这些公式是从哪里来的吗？,你知道這些公式是從哪裏來的嗎？
839829,Add meat.,加肉。,加肉。
839832,Let's go to eat.,去吃饭吧。,去吃飯吧。
839833,It seems that Mr Tanaka has passed the exam.,田中先生好像通过了考试。,田中先生好像通過了考試。
839835,This book is very thick.,这本书非常厚。,這本書非常厚。
839839,The Polish language is involved.,涉及到波兰语。,涉及到波蘭語。
840425,"At last, she solved the problem.",最后，她解决了这个问题。,最後，她解決了這個問題。
840426,They're digging a hole.,他们正在挖一个洞。,他們正在挖一個洞。
840428,They didn't obey their parents.,他们没有遵从他们的父母。,他們沒有遵從他們的父母。
840429,That incident made him famous.,这起事件使他一举成名。,這起事件使他一舉成名。
840430,He does nothing but read comics.,他什麽都不做只是看漫画。,他什麼都不做只是看漫畫。
840431,This vending machine isn't working.,这台自动贩卖机故障了。,這臺自動販賣機故障了。
840432,Do you plan to stay long?,你打算长时间停留吗？,你打算長時間停留嗎？
840434,Would you like to drink anything?,你想喝点什麽吗？,你想喝點什麼嗎？
840439,She hasn't come yet.,她还没有到来。,她還沒有到來。
840509,The children were flying kites.,孩子们在放风筝。,孩子們在放風箏。
840511,You can use this car.,你可以使用这辆车。,你可以使用這輛車。
840515,There's nothing I can do.,没有我可以做的事。,沒有我可以做的事。
840517,She was susceptible to colds.,她易患感冒。,她易患感冒。
840518,Do you subscribe to any magazines?,你有订阅任何杂志吗？,你有訂閱任何雜誌嗎？
840520,Everybody knows that he is honest.,大家都知道他是诚实的。,大家都知道他是誠實的。
840523,Do you have school on Saturdays?,你星期六要上学吗？,你星期六要上學嗎？
840526,You'd better not wait here.,你最好不要在这裡等。,你最好不要在這裡等。
840529,Could you put this coat somewhere?,您能把这件大衣放在某个地方？,您能把這件大衣放在某個地方？
840532,She is a pretty girl.,她是一个漂亮的女孩。,她是一個漂亮的女孩。
840535,He explained his plans in detail.,他详细地解释了他的计划。,他詳細地解釋了他的計劃。
840540,They waited for their teacher.,他们等待着他们的老师。,他們等待著他們的老師。
